# Version: ICTV_Master_Species_List_2022_MSL38_v3 (website: https://ictv.global/msl)
Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Genome Composition	Last Change	MSL of Last Change	Proposal for Last Change 	Taxon History URL
1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SBFV2	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202208644
2	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SFV1	dsDNA	Moved,Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202208643
3	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 3	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202201532
4	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 6	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202201533
5	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 7	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202201534
6	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 8	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202201535
7	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 9	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202201536
8	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Sulfolobus islandicus filamentous virus	dsDNA	Moved,Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202201537
9	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Acidianus filamentous virus 2	dsDNA	Moved,Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202201539
10	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus SBFV3	dsDNA	Moved,	36	2020.186B.R.Adnaviria.zip	ictv.global=202208645
11	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus SRV	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211720
12	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV2	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211716
13	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV3	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211717
14	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus MRV1	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211718
15	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus SSRV1	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211719
16	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV1	dsDNA	Renamed,Moved,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202201546
17	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV2	dsDNA	Renamed,Moved,Removed as Type Species,	36	2020.141B.R.Rudiviridae.zip;2020.001G.R.Abolish_type_species.pdf	ictv.global=202201547
