#VOG	Function	Taxonomy (LCA)
VOG00022	sp|A7U6E9|MCP_POV01 Major capsid protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG00138	sp|Q197F3|007R_IIV3 Uncharacterized protein 007R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG00152	REFSEQ zinc finger protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG00168	sp|P04011|VP2_POVLY Minor capsid protein VP2	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae
VOG00198	sp|P03071|LT_POVBK Large T antigen	Monodnaviria;Shotokuvirae;Cossaviricota;NA;NA;NA
VOG00228	REFSEQ F-box containing protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG00238	sp|Q67621|AC4_TYCS2 Protein C4	Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae
VOG00240	sp|Q9E785|MATRX_BEFVB Matrix protein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
VOG00247	sp|P0DOL5|E10_VAR67 Probable FAD-linked sulfhydryl oxidase E10	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG00251	sp|P03724|GP14_BPT7 Internal virion protein gp14	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae
VOG00259	sp|P09504|P0_TYYVF Suppressor of silencing P0	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG00342	sp|Q80921|VE7_HPV48 Protein E7	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae
VOG00358	sp|Q5UP93|YL017_MIMIV Uncharacterized protein L17	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG00365	sp|Q5UPD4|YL060_MIMIV Putative F-box and FNIP repeat-containing protein L60	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG00389	sp|O57044|RDRP_HV19S Probable RNA-directed RNA polymerase	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG00397	sp|Q196V5|VF359_IIV3 Uncharacterized protein 105R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG00400	sp|P16073|PHOSP_NDVA Phosphoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae
VOG00452	sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG00477	sp|Q5UQD6|YR465_MIMIV Uncharacterized protein R465	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG00518	sp|P12555|HN_NDVD Hemagglutinin-neuraminidase	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae
VOG00523	sp|P04295|TRM3_HHV11 Tripartite terminase subunit 3	Duplodnaviria;Heunggongvirae;NA;NA;NA;NA
VOG00609	sp|P0DSW1|A13_VAR67 Virion membrane protein A13	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG00618	sp|P07613|L2_VACCW Protein L2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG00631	sp|P89876|POLG_LMVE Genome polyprotein	Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
VOG00651	sp|Q5UQ12|YR190_MIMIV Putative ankyrin repeat protein R190	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
